WORD,COUNT
News,8
test,7
news,5
City,8
NY,3
Date,8
Sat,6
Apr,8
another,3
CA,3
Vacancy,12
Company,6
name,12
Epam,3
DQE,3
Description,6
data,6
quality,3
engineer,3
position,3
for,13
level,3
A2-A3,3
Salary,6
EPAM,3
PM,3
project,6
manager,3
Private,10
Advertisement,7
house,3
rent,3
Expiration,7
date,7
Days,7
left,7
Volfswagen,3
Golf,3
sale,3
this,1
is,1
manual,1
adv,1
custom,2
Custom,4
next,1
that,1
time,1
new,1
york,1
Sun,2
task,1
Los,1
Angeles,1
